fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldHcType,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
HULDRA,Equinor Energy AS,Shut down,30/2-1,12.10.1982,North sea,PRODUCTION LICENSE,878,Mongstad,GAS/CONDENSATE,28973861.0,97002,72,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=97002,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=97002,02.01.2024,01.03.2024,14.04.2024
HYME,Equinor Energy AS,Producing,6407/8-5 S,26.05.2009,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,OIL,2987047.0,20474183,6110,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20474183,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=20474183,02.01.2024,18.02.2024,14.04.2024
IDUN NORD,Aker BP ASA,Approved for production,6507/3-7,22.07.2009,Norwegian sea,PRODUCTION LICENSE,159 D,,GAS,4939421.0,42002477,6123,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002477,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002477,02.01.2024,02.01.2024,14.04.2024
IRPA,Equinor Energy AS,Approved for production,6705/10-1,19.03.2009,Norwegian sea,PRODUCTION LICENSE,327 B,,GAS,4720054.0,42002482,6044,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002482,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002482,13.03.2024,02.01.2024,14.04.2024
ISLAY,TotalEnergies E&P UK Limited,Producing,?,,North sea,BUSINESS ARRANGEMENT AREA,ISLAY UNIT,,GAS,27122635.0,21105675,0,35000018.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21105675,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21105675,02.01.2024,02.01.2024,14.04.2024
IVAR AASEN,Aker BP ASA,Producing,16/1-9,22.04.2008,North sea,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,Tananger,OIL,25307128.0,23384520,5773,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384520,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384520,02.01.2024,01.03.2024,14.04.2024
JETTE,,Shut down,25/8-17,29.10.2009,North sea,,,,OIL,,21613906,6185,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21613906,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21613906,02.01.2024,02.01.2024,14.04.2024
JOHAN CASTBERG,Equinor Energy AS,Approved for production,7220/8-1,02.05.2011,Barents sea,PRODUCTION LICENSE,532,Hammerfest,OIL/GAS,5463659.0,32017325,6484,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=32017325,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=32017325,02.01.2024,01.03.2024,14.04.2024
JOHAN SVERDRUP,Equinor Energy AS,Producing,16/2-6,20.09.2010,North sea,BUSINESS ARRANGEMENT AREA,JOHAN SVERDRUP UNIT,Dusavik,OIL,26312510.0,26376286,6374,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=26376286,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=26376286,02.01.2024,28.02.2024,14.04.2024
JOTUN,Vår Energi ASA,Shut down,25/8-5 S,22.09.1994,North sea,PRODUCTION LICENSE,1203,Dusavik,OIL,38724022.0,43604,2390,50000032.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43604,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43604,04.04.2024,23.03.2024,14.04.2024
KNARR,,Shut down,34/3-1 S,10.09.2008,North sea,,,Florø,OIL,,20460988,5811,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20460988,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=20460988,02.01.2024,01.03.2024,14.04.2024
KRISTIN,Equinor Energy AS,Producing,6406/2-3,15.04.1997,Norwegian sea,BUSINESS ARRANGEMENT AREA,HALTENBANKEN VEST UNIT,Kristiansund,GAS/CONDENSATE,1854695.0,1854729,2849,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1854729,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1854729,03.04.2024,01.03.2024,14.04.2024
KVITEBJØRN,Equinor Energy AS,Producing,34/11-1,25.10.1994,North sea,PRODUCTION LICENSE,193,Mongstad,GAS/CONDENSATE,22356.0,1036101,2377,32011216.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1036101,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1036101,02.01.2024,01.03.2024,14.04.2024
LILLE-FRIGG,Aker BP ASA,Shut down,25/2-4,20.10.1975,North sea,PRODUCTION LICENSE,873,,GAS/CONDENSATE,28973585.0,43583,356,28544099.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43583,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43583,02.01.2024,02.01.2024,14.04.2024
MARIA,Wintershall Dea Norge AS,Producing,6406/3-8,10.08.2010,Norwegian sea,PRODUCTION LICENSE,475 BS,,OIL,5107669.0,26465170,6350,35318843.0,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=26465170,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=26465170,02.01.2024,02.01.2024,14.04.2024
