"name","npdId","year","month","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"BALDER",43562,2001,6,14971300,"Sm3",47100,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,7,13902200,"Sm3",43333,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,8,15840246,"Sm3",96357,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,9,17535606,"Sm3",104435,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,10,19869011,"Sm3",113399,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,11,21188837,"Sm3",104914,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,12,20418528,"Sm3",121684,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,1,21865806,"Sm3",152186,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,2,4090294,"Sm3",86984,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,3,23016928,"Sm3",141027,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,4,19883851,"Sm3",135265,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,5,13402406,"Sm3",95316,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,6,21259676,"Sm3",157468,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,7,18927253,"Sm3",159676,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,8,3937991,"Sm3",46717,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,9,18338297,"Sm3",145709,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,10,18267454,"Sm3",127471,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,11,17504229,"Sm3",134726,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,12,15734873,"Sm3",145666,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,1,14123351,"Sm3",110276,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,2,16075288,"Sm3",97226,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,3,22300839,"Sm3",124069,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,4,19361075,"Sm3",142529,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,5,19538058,"Sm3",124973,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,6,20167252,"Sm3",131341,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,7,15409716,"Sm3",251212,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,8,10607497,"Sm3",161237,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,9,16977488,"Sm3",214478,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,10,17222460,"Sm3",262118,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,11,2856061,"Sm3",303683,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,12,1050912,"Sm3",188598,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,1,684945,"Sm3",314006,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,2,1702587,"Sm3",305956,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,3,2097665,"Sm3",266388,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,4,2316598,"Sm3",301637,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,5,3094877,"Sm3",372725,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,6,4288014,"Sm3",276029,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,7,7386621,"Sm3",336760,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,8,11579466,"Sm3",301588,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,9,13937952,"Sm3",226988,"Sm3"," ","Sm3"," ","Sm3"
